Captainz ID,questing,price,Total Mapz,Unrevealed,Special,Extraordinary,Magical,Epic,Mythical
1,No,-,0,0,0,0,0,0,0
2,No,-,0,0,0,0,0,0,0
3,No,-,0,0,0,0,0,0,0
4,No,-,0,0,0,0,0,0,0
5,No,-,0,0,0,0,0,0,0
6,No,-,0,0,0,0,0,0,0
7,No,-,0,0,0,0,0,0,0
8,No,-,0,0,0,0,0,0,0
9,No,-,0,0,0,0,0,0,0
10,No,-,0,0,0,0,0,0,0
11,No,-,0,0,0,0,0,0,0
12,No,-,0,0,0,0,0,0,0
13,No,-,0,0,0,0,0,0,0
14,No,-,0,0,0,0,0,0,0
15,No,-,0,0,0,0,0,0,0
16,No,-,0,0,0,0,0,0,0
17,No,-,0,0,0,0,0,0,0
18,No,-,0,0,0,0,0,0,0
19,No,-,0,0,0,0,0,0,0
20,No,-,0,0,0,0,0,0,0
21,No,-,0,0,0,0,0,0,0
22,No,-,0,0,0,0,0,0,0
23,No,-,0,0,0,0,0,0,0
24,No,-,0,0,0,0,0,0,0
25,No,-,0,0,0,0,0,0,0
26,No,-,0,0,0,0,0,0,0
27,No,-,0,0,0,0,0,0,0
28,No,-,0,0,0,0,0,0,0
29,No,-,0,0,0,0,0,0,0
30,No,-,0,0,0,0,0,0,0
31,No,-,0,0,0,0,0,0,0
32,No,-,0,0,0,0,0,0,0
33,No,-,0,0,0,0,0,0,0
34,No,-,0,0,0,0,0,0,0
35,No,-,0,0,0,0,0,0,0
36,No,-,0,0,0,0,0,0,0
37,No,-,0,0,0,0,0,0,0
38,No,-,0,0,0,0,0,0,0
39,No,-,0,0,0,0,0,0,0
40,No,-,0,0,0,0,0,0,0
41,No,-,0,0,0,0,0,0,0
42,No,-,0,0,0,0,0,0,0
43,No,-,0,0,0,0,0,0,0
44,No,-,0,0,0,0,0,0,0
45,No,-,0,0,0,0,0,0,0
46,No,-,0,0,0,0,0,0,0
47,No,-,0,0,0,0,0,0,0
48,No,-,0,0,0,0,0,0,0
49,No,-,0,0,0,0,0,0,0
50,No,-,0,0,0,0,0,0,0
51,No,-,0,0,0,0,0,0,0
52,No,-,0,0,0,0,0,0,0
53,No,-,0,0,0,0,0,0,0
54,No,-,0,0,0,0,0,0,0
55,No,-,0,0,0,0,0,0,0
56,No,-,0,0,0,0,0,0,0
57,No,-,0,0,0,0,0,0,0
58,No,-,0,0,0,0,0,0,0
59,No,-,0,0,0,0,0,0,0
60,No,-,0,0,0,0,0,0,0
61,No,-,0,0,0,0,0,0,0
62,No,-,0,0,0,0,0,0,0
63,No,-,0,0,0,0,0,0,0
64,No,-,0,0,0,0,0,0,0
65,No,-,0,0,0,0,0,0,0
66,No,-,0,0,0,0,0,0,0
67,No,-,0,0,0,0,0,0,0
68,No,-,0,0,0,0,0,0,0
69,No,-,0,0,0,0,0,0,0
70,No,-,0,0,0,0,0,0,0
71,No,-,0,0,0,0,0,0,0
72,No,-,0,0,0,0,0,0,0
73,No,-,0,0,0,0,0,0,0
74,No,-,0,0,0,0,0,0,0
75,No,-,0,0,0,0,0,0,0
76,No,-,0,0,0,0,0,0,0
77,No,-,0,0,0,0,0,0,0
78,No,-,0,0,0,0,0,0,0
79,No,-,0,0,0,0,0,0,0
80,No,-,0,0,0,0,0,0,0
81,No,-,0,0,0,0,0,0,0
82,No,-,0,0,0,0,0,0,0
83,No,-,0,0,0,0,0,0,0
84,No,-,0,0,0,0,0,0,0
85,No,-,0,0,0,0,0,0,0
86,No,-,0,0,0,0,0,0,0
87,No,-,0,0,0,0,0,0,0
88,No,-,0,0,0,0,0,0,0
